affiliate_url,ml_code,title,price,commission_pct,image_url
https://meli.la/15nobu8,S5L99N-7HMA,Álbum Copa Do Mundo 2026 Capa Mole + 84 Figurinhas,"R$ 119 ,",19%,https://http2.mlstatic.com/D_NQ_NP_826892-MLB111202074123_052026-O.webp
https://meli.la/2qykwFR,S5L99N-BVQR,Kit 2 Blusa Cacharrel Masculino Gola Alta Canelado Camisas Preto + Bordô M,"R$ 75 ,",22%,https://http2.mlstatic.com/D_NQ_NP_824842-MLB84772906997_052025-O.webp
https://meli.la/2AdWrW9,S5L99N-SS5W,Balança Digital Bioimpedância Bluetooth Corporal Aparelho Alta Capacidade App Para Android E Para Ios Cor Preto Balança De Banheiro Academia - Rhead Red High End Studios 3v,"R$ 29 ,",17%,https://http2.mlstatic.com/D_NQ_NP_907836-MLA110261906562_052026-O.webp
https://meli.la/1UcRK4d,S5L99N-GB3D,Tênis Casual Feminino Carina Lux Puma White/white/black 35 Br,"R$ 309 ,",GANHOS 16%,https://http2.mlstatic.com/D_NQ_NP_725249-MLA95706971152_102025-O.webp
https://meli.la/2zuc55S,S5L99N-DTZH,Creatina Monohidratada Pura 500g Dark Lab Unidade Sem Sabor,"R$ 44 ,",17%,https://http2.mlstatic.com/D_NQ_NP_942122-MLA99923169249_112025-O.webp
https://meli.la/1L8oCBg,S5L99N-M9SK,Jogo De Panelas Casambiente 8 Peças Revestimento Cerâmico Antiaderente Creme,"R$ 409 ,",GANHOS 12%,https://http2.mlstatic.com/D_NQ_NP_609082-MLA96144085441_102025-O.webp
https://meli.la/1PgVZTx,S5L99N-DTG8,Camisa Seleção Copa Torcedor 26/27 Unissex Canarinho Amarela Amarelo Canarinho G,"R$ 119 ,",GANHOS 16%,https://http2.mlstatic.com/D_NQ_609182-MLA110946015266_052026-OO.jpg
https://meli.la/1SZ4aYX,S5L99N-W14P,Fone De Ouvido Bluetooth Sem Fio Bateria De Longa Duração Pro 4 Branco Conecta Rápido Fast Plug,"R$ 22 ,",GANHOS 5%,https://http2.mlstatic.com/D_NQ_NP_742296-MLA109276864764_042026-O.webp
https://meli.la/2PDYyF6,S5L99N-YHT3,Notebook Dell Inspiron I15-i1300-a15p Core 3 8gb 512gb W11 Preto,R$ 3.699,GANHOS 5%,https://http2.mlstatic.com/D_NQ_609182-MLA110946015266_052026-OO.jpg
https://meli.la/2yVsVVb,S5L99N-07SD,Estante Organizadora De Maquiagem Cosméticos 3 Andares Mr. Ogro Transparente,"R$ 119 ,",GANHOS 16%,https://http2.mlstatic.com/D_NQ_NP_652675-MLA106843197850_022026-O.webp
https://meli.la/2Z782Xb,S5L99N-GFSE,Console Playstation®5 Slim Disk - Pacote Astro Bot E Gran Turismo 7 Branco,R$ 4.549,GANHOS 12%,https://http2.mlstatic.com/D_NQ_NP_945456-MLA99456386724_112025-O.webp
https://meli.la/1fm8s9P,S5L99N-K1FS,Aparador De Pelos Mondial Super Groom 10 Bg-03 6w Bivolt Completo Preto 127/220v,"R$ 124 ,",GANHOS 16%,https://http2.mlstatic.com/D_NQ_NP_981084-MLA99522140924_122025-O.webp
https://meli.la/1t53yz7,S5L99N-M0T3,Camisa Copa Feminina Copa Do Brasil Camisa Dryfit Amarela Amarelo Brasil G Lisa,R$ 115,24%,https://http2.mlstatic.com/D_NQ_NP_608188-MLB111183432314_052026-O.webp
https://meli.la/1qwtQmM,S5L99N-BZ6N,Kit 10 Potes Herméticos Vidro 640ml Starhouse Marmita Forno Micro-ondas,"R$ 102 ,",16%,https://http2.mlstatic.com/D_NQ_NP_851388-MLA99988740405_112025-O.webp
https://meli.la/28rAgLA,S5L99N-2KW1,"Carregador Para Bateria 12v Até 300a(carro, Moto, Barco, Caminhão, Jet-ski, Etc.) Modelo Cf5ah Trafotron, Bivolt, Produto Nacional Com Duas Opções De Carga Lenta E Semirrápida, 6 Meses De Garantia.","R$ 119 ,",GANHOS 12%,https://http2.mlstatic.com/D_NQ_NP_797898-MLA97837001785_112025-O.webp
