Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
16692338189,Jogo de Lençol 400 Fios Micropercal Com Fronha em Ponto Palito,"13,80",1mi+,Casa_Completa_Enxovais,14%,"R$1,93",https://shopee.com.br/product/552896405/16692338189,https://s.shopee.com.br/gN7WGIjdk
23394276680,Kit 6/12/18/24 Panos De Limpeza Aço Premium Arear Panela Fogão Toalha Louça Tira Gordura Reutilizável,"10,00",100mil+,MaisKCompra Store,8%,"R$0,80",https://shopee.com.br/product/1429781525/23394276680,https://s.shopee.com.br/qgXiZI6In
21599248399,Mesa de Cabeceira Retrô Compacta com Nicho para Quarto Sala Casal ou Solteiro Palma,"29,90",500mil+,Eggers Móveis Modulados,8%,"R$2,39",https://shopee.com.br/product/594157579/21599248399,https://s.shopee.com.br/10zxusHSxq
55050251437,KIT BODY SPLASH MASCULINO BARBARIUS E MIDTOWN 200ML - PRIMACIAL PERFUME FRESCO AMADEIRADO,"56,61",40mil+,Primacial,11%,"R$6,23",https://shopee.com.br/product/1295467768/55050251437,https://s.shopee.com.br/1BJO7BGpct
22893738408,Kit Jogo de Lençol Roupa de Cama Box Berço Solteiro Casal Queen King 400 fios Toque Macio com Ponto Palito,"14,40",800mil+,Nosso Lar Enxovais,10%,"R$1,44",https://shopee.com.br/product/313660590/22893738408,https://s.shopee.com.br/1LcoJUGCHw
23994288266,Percarbonato 100% Puro Tira Manchas Roupas Brancas e Coloridas,"19,90",200mil+,Lojas Coisarada,10%,"R$1,99",https://shopee.com.br/product/363220493/23994288266,https://s.shopee.com.br/1VwEVnFYwz
23994387054,Kit Dupla Renovadores Faciais Kokeshi Pele Porcelana Olhos Gueixa,"39,13",100mil+,KOKESHI OFICIAL,26%,"R$10,17",https://shopee.com.br/product/395166866/23994387054,https://s.shopee.com.br/1gFei6Evc2
22996121313,Areia Catbio Biodegradável 4 Kg - Max Clean - Grãos Finos,"46,90",200mil+,petpremier,7%,"R$3,28",https://shopee.com.br/product/1023760886/22996121313,https://s.shopee.com.br/1qZ4uPEIH5
22893873080,Jogo de Lençol 400 fios toque Suave e Acetinado Berço Solteiro Casal Queen King 02 e 03 Peças,"14,60",100mil+,Nosso Lar Enxovais,10%,"R$1,46",https://shopee.com.br/product/313660590/22893873080,https://s.shopee.com.br/20sV6iDew8
23193680985,Tira manchas alvejante 1kg + Percarbonato de sódio 1kg,"18,00",300mil+,Ans Agrária,13%,"R$2,34",https://shopee.com.br/product/512962451/23193680985,https://s.shopee.com.br/2BBvJ1D1bB
22892833180,40 Peças / 46 Peças Jogo De Chave Catraca Caixa De Ferramentas Completa Reversível Soquetes Maleta,"25,97",300mil+,RISESHOP_brasil,19%,"R$4,93",https://shopee.com.br/product/832036467/22892833180,https://s.shopee.com.br/2LVLVKCOGE
22599143898,Carregador Portátil Indução para iPhone/Android Magsafe Sem fio Bateria Carga 5000mAH/10000mah,"26,98",60mil+,BIBIBO TECH LTDA,11%,"R$2,97",https://shopee.com.br/product/1585429562/22599143898,https://s.shopee.com.br/2VolhdBkvH
58200593634,Kit com 100 Unidades de Tampa De Plástico descartável para alimento (MC 19169),"10,00",30mil+,L.e.fashion shopp,13%,"R$1,30",https://shopee.com.br/product/463957248/58200593634,https://s.shopee.com.br/2g8BtwB7aK
23699364867,Percarbonato 100% Puro Tira Manchas Roupas Brancas e Coloridas,"17,99",40mil+,Papelaria Nathy Print,8%,"R$1,44",https://shopee.com.br/product/716194498/23699364867,https://s.shopee.com.br/2qRc6FAUFN
49603251115,Kit  Collagen Completo Máscara 500g Shampoo 1L Condicionador 1L Óleo Maca 50ml Tratamento Profissional,"49,00",50mil+,Karseell Oficial ,16%,"R$7,84",https://shopee.com.br/product/407760070/49603251115,https://s.shopee.com.br/30l2IY9quQ
22394412338,Fita Dupla Face Extra Forte Transparente NanoGel Silicone Mágica Adesiva Cola na Parede Móvel Porta,"10,00",100mil+,Good Vibes Moment Variedade Mochila,8%,"R$0,80",https://shopee.com.br/product/392260640/22394412338,https://s.shopee.com.br/3B4SUr9DZT
