Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
58260172435,Blusa Feminina Crepe Duna Decote V Manga 3/4 Soltinha Elegante Tendência,"24,99",0,Ousabella,10%,"R$2,50",https://shopee.com.br/product/792952722/58260172435,https://s.shopee.com.br/9zupangBmu
58252841983,1/2/3 Cola Calçados Cola Pra Conserto De Sapatos Cola Para Conserto De Sapatos Resistente A Altas Temperaturas,"11,98",4mil+,RIven Bazar,3%,"R$0,36",https://shopee.com.br/product/299222557/58252841983,https://s.shopee.com.br/AAEFn6fYRx
58209766469,Moletom Canguru Masculino Banda Stray Kids Blusa de Frio Premium Casaco Inverno Unisex,"99,99",0,Peça essencial,3%,"R$3,00",https://shopee.com.br/product/1077144780/58209766469,https://s.shopee.com.br/AKXfzPev70
58260056158,Dupla Body Splash Delight Barbour's Beauty 200ml Perfume Feminino,"79,03",234,Barbour's Beauty,23%,"R$18,18",https://shopee.com.br/product/1579330222/58260056158,https://s.shopee.com.br/AUr6BieHm3
58207970054,Kit Trio Pulseiras Fita Ponto Luz Trançada Banhado Prata 925,17,167,Souza Cruz Jóias,15%,"R$2,55",https://shopee.com.br/product/368039476/58207970054,https://s.shopee.com.br/809lD7nnqa
58207667280,3 / 6 / 9 / 12 / 18 / 24 Pares de Meias Femininas Soquete Cano Curto Estampadas Cores Variadas Confortável,"12,9",4mil+,BL SOCKS,3%,"R$0,39",https://shopee.com.br/product/493828477/58207667280,https://s.shopee.com.br/8ATBPQnAVd
58259736335,Moletom Canguru Masculino Exclusiva Aranha Streetwear Algodão Premium Blusa de Frio Inverno,"99,99",1,Peça essencial,3%,"R$3,00",https://shopee.com.br/product/1077144780/58259736335,https://s.shopee.com.br/8KmbbjmXAg
58202126334,Kit com 3 Cremes Hidratantes Corporais Nativa Spa – 400ml Cada,"27,99",2,Max Perfumes,13%,"R$3,64",https://shopee.com.br/product/1420372901/58202126334,https://s.shopee.com.br/8V61o2ltpj
18350470458,Mochila Bolsa Reforçada Notebook Resistente Trabalho Faculdade Coreana,"31,5",40mil+,Fenix Abdon,5%,"R$1,58",https://shopee.com.br/product/752743341/18350470458,https://s.shopee.com.br/8fPS0LlGUm
58259146436,Meia Grossa Térmica de Lã com Sola Antiderrapante Unissex Criança e Adulto Quentinha Forrada Grossa,"12,59",4mil+,BellaSotre,9%,"R$1,13",https://shopee.com.br/product/1600778769/58259146436,https://s.shopee.com.br/8pisCekd9p
23699442916,Moletom Canguru Feminino Stray Kids Banda Kpop Skz Skzoo Unissex Premium Blusa de Frio,"99,99",0,Peça essencial,3%,"R$3,00",https://shopee.com.br/product/1077144780/23699442916,https://s.shopee.com.br/902IOxjzos
58210354378,Kit 3 Gel Sebo de Carneiro Hidratante Pele Renovada Nati Corporal Pés + Necessaire Brinde 150mL,"14,95",513,Magia do Bolo Fake,13%,"R$1,94",https://shopee.com.br/product/287079590/58210354378,https://s.shopee.com.br/9ALibGjMTv
22793679889,Tênis Infantil Calce Facil Feminino Bevolo Calçados,19,20mil+,Bevolo Calçados,8%,"R$1,52",https://shopee.com.br/product/676684389/22793679889,https://s.shopee.com.br/6feNcfssYS
20398143226,Base BB Cream Cushion /Corretivo com Esponja co Formato de Cogumelo  Base Clareador Maquiagem Creme Clareador Lové Rain,"24,88",2mil+,WANGYE,12%,"R$2,99",https://shopee.com.br/product/1485160784/20398143226,https://s.shopee.com.br/6pxnoysFDV
58259802662,Moletom Canguru Masculino Estampado Skyline Gtr R34  Blusa De Frio Premium Carro Turbo Inverno,"99,99",2,Peça essencial,3%,"R$3,00",https://shopee.com.br/product/1077144780/58259802662,https://s.shopee.com.br/70HE1HrbsY
22798989144,Kit 6 e 12 Pares de Meias Masculino para Recém Nascidos e Bebê Menino c/ Antiderrapante,"15,9",5mil+,ZAVSHOP,13%,"R$2,07",https://shopee.com.br/product/1643565306/22798989144,https://s.shopee.com.br/7AaeDaqyXb
17422129005,Kit com 5 - Lenço Umedecido Turminha da Bagunça Toalha Umedecida 48 Unidades,"18,99",4mil+,NUTRIWORLD,7%,"R$1,33",https://shopee.com.br/product/321128579/17422129005,https://s.shopee.com.br/7Ku4PtqLCe
22398682323,"Calça Jogger Masculina Esportiva Premium com Bolsos | Confortável, Dia a Dia esportiva lazer passeio","27,9",6mil+,Império 21,13%,"R$3,63",https://shopee.com.br/product/502700315/22398682323,https://s.shopee.com.br/7VDUcCphrh
22494052851,"Maquiagem junina adesiva, autocolante  kit 1 maquiagem completa contendo, 2 bandeirolas. 2 fogueiras,2 girasois...","19,9",1mil+,Zau presentes,12%,"R$2,39",https://shopee.com.br/product/323364785/22494052851,https://s.shopee.com.br/7fWuoVp4Wk
22799419082,Meia-Calça Térmica Feminina Peluciada Translúcida Alta Elasticidade Super Quente Para Inverno,"21,99",10mil+,Conforto em Casa BR,17%,"R$3,74",https://shopee.com.br/product/1671173223/22799419082,https://s.shopee.com.br/7pqL0ooRBn
19299663655,Roupa de Cachorro Gato Frio Inverno Pequenos Medios Grande Porte SF,"30,7",10mil+,Raposo-Store,3%,"R$0,92",https://shopee.com.br/product/364843650/19299663655,https://s.shopee.com.br/5L902DxxGK
